ID	Symbol	StartDate	Size(MB)	Description	Exchange	Industry	Sector
448	CCE	1/2/1998	75.05	"Coca-Cola European Partners plc"	NYSE	"Beverages (Production/Distribution)"	"Consumer Non-Durables"
449	CCF	6/9/2006	3.85	"Chase Corporation"	AMEX	"Building Products"	"Consumer Durables"
450	CCI	4/25/2001	60.37	"Crown Castle International Corporation"	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
451	CCK	1/2/1998	65.08	"Crown Holdings, Inc."	NYSE	"Containers/Packaging"	"Consumer Durables"
452	CCL	1/2/1998	80.53	"Carnival Corporation"	NYSE	"Marine Transportation"	"Consumer Services"
453	CCMP	4/5/2000	48.89	"Cabot Microelectronics Corporation"	NASDAQ	"Semiconductors"	"Technology"
454	CCNE	10/30/2002	3.78	"CNB Financial Corporation"	NASDAQ	"Major Banks"	"Finance"
455	CCO	11/14/2005	28.08	"Clear Channel Outdoor Holdings, Inc."	NYSE	"Advertising"	"Consumer Services"
456	CCOI	3/6/2006	34.29	"Cogent Communications Holdings, Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
457	CCRN	10/25/2001	31.07	"Cross Country Healthcare, Inc."	NASDAQ	"Professional Services"	"Technology"
458	CCU	1/2/1998	57.83	"Compania Cervecerias Unidas, S.A."	NYSE	"Beverages (Production/Distribution)"	"Consumer Non-Durables"
459	CCXI	2/8/2012	7.14	"ChemoCentryx, Inc."	NASDAQ	"Major Pharmaceuticals"	"Health Care"
460	CDE	1/2/1998	61.36	"Coeur Mining, Inc."	NYSE	"Precious Metals"	"Basic Industries"
461	CDI	1/2/1998	25.49	"CDI Corporation"	NYSE	"Professional Services"	"Technology"
462	CDNS	10/31/2005	45.7	"Cadence Design Systems, Inc."	NASDAQ	"Computer Software: Prepackaged Software"	"Technology"
463	CDR	10/24/2003	31.76	"Cedar Realty Trust, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
